"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ASHGV40027775",1.461728649,9.7005175765,5.97140994738719,7.69400459098486e-05,0.00152130684589679,1.54277361502024
"ASHGV40011073",1.85926039283333,4.43808498241667,5.97060508486339,7.70324729739894e-05,0.00152130684589679,1.54152790594277
"ASHGV40005008",2.49613782933333,5.6483204705,5.97060386940556,7.70326126412735e-05,0.00152130684589679,1.54152602467399
"ASHGV40021197",1.40518870933333,3.9384069905,5.96719925397676,7.74248920089096e-05,0.0015270771202171,1.53625558632863
"ASHGV40019808",-1.006525725,6.65182585266667,-5.96631787939473,7.75267892900228e-05,0.00152822639337055,1.53489092650618
"ASHGV40017941",1.016377282,10.3432424573333,5.9662620570814,7.75332478020977e-05,0.00152822639337055,1.53480449136528
"ASHGV40057179",1.48909390833333,11.2695259091667,5.96325339895215,7.78821895155456e-05,0.0015341132127168,1.53014523861736
"ASHGV40046455",1.13011397916667,8.99777844791667,5.95637231673121,7.86865378835268e-05,0.00154650307192899,1.51948426899824
"ASHGV40044138",-1.04095669683333,3.20379322041667,-5.95263120819251,7.91275449271629e-05,0.00155294043257559,1.51368529363196
"ASHGV40028193",1.11401678166667,3.48154587,5.95247307754961,7.91462433209365e-05,0.00155294043257559,1.51344013656155
"ASHGV40044765",2.48746458133333,9.43290508516667,5.95228225492928,7.91688136756468e-05,0.00155294043257559,1.51314429092349
"ASHGV40043618",1.22238396533333,5.850869523,5.95185665609308,7.92191778149845e-05,0.00155342901895296,1.51248443672166
"ASHGV40012824",-1.4972609315,4.40961735758333,-5.94953296121523,7.94947579733972e-05,0.00155783176318837,1.50888129585497
"ASHGV40051283",2.41320388366667,4.128615286,5.94743896270277,7.97439694627227e-05,0.00156171244945224,1.50563366837351
"ASHGV40053036",-1.1065343025,7.09563513408333,-5.94124446546194,8.04860609174674e-05,0.00157239786332267,1.49602284933642
"ASHGV40044741",3.142521531,6.827404336,5.94116422352548,8.04957217655354e-05,0.00157239786332267,1.49589831754663
"ASHGV40040280",2.20156569166667,9.06256055733333,5.94094512333195,8.05221069345417e-05,0.00157240993714351,1.49555827948764
"ASHGV40024716",-1.43367406933333,7.17053063916667,-5.9397167927663,8.06701990018835e-05,0.00157479789631828,1.4936518149167
"ASHGV40043075",1.24353767716667,6.78248724291667,5.93411846315798,8.13488273170653e-05,0.00158449755448343,1.4849600626006
"ASHGV40014602",-1.07449781433333,5.69338354116667,-5.93260352006251,8.15335089040231e-05,0.00158703865023975,1.48260725595679
"ASHGV40002277",-2.3772488305,4.45618027491667,-5.93240855531723,8.15573087170926e-05,0.00158703865023975,1.48230443920134
"ASHGV40014276",1.61392505583333,3.86989507191667,5.92888799046734,8.19883443944589e-05,0.00159187296478761,1.47683541540923
